timestamp,distance_m,yaw_deg
1758203392.4200277,0.44,159.59
1758203392.470373,0.47,158.7
1758203392.5207293,0.49,158.25
1758203392.5710666,0.51,156.89
1758203392.6214163,0.49,156.0
1758203392.671759,0.4,154.64
1758203392.722029,0.31,153.29
1758203392.7722585,0.47,151.95
1758203392.8225017,0.57,150.14
1758203392.8727531,0.67,146.54
1758203392.9229658,0.51,141.59
1758203392.973186,0.56,136.64
1758203393.0234163,0.73,131.25
1758203393.0736713,0.99,126.3
1758203393.123932,0.5,120.89
1758203393.1741586,0.21,115.95
1758203393.224388,0.16,110.55
1758203393.2746117,0.14,105.59
1758203393.3248403,0.16,100.2
1758203393.3750699,0.35,95.24
1758203393.4252882,0.43,89.84
1758203393.4755151,0.4,84.89
1758203393.5257418,0.38,79.49
1758203393.575979,0.37,74.1
1758203393.626226,0.33,69.14
1758203393.6764743,0.29,63.75
1758203393.7267137,0.31,58.8
1758203393.7769356,0.4,53.4
1758203393.827178,1.05,48.45
1758203393.8774128,1.26,43.05
1758203393.927639,3.06,38.09
1758203393.977875,3.57,32.7
1758203394.028122,3.69,27.75
1758203394.0783668,3.98,22.35
1758203394.1285963,4.19,17.4
1758203394.1788216,4.51,11.99
1758203394.2291064,4.56,7.05
1758203394.279447,4.14,1.65
1758203394.3297527,2.27,-3.29
1758203394.3800962,1.22,-8.69
1758203394.430439,6.47,-13.64
1758203394.4808095,6.0,-18.58
1758203394.5311067,0.08,-23.98
1758203394.581387,0.09,-28.94
1758203394.6317642,0.89,-34.33
1758203394.6821325,0.8,-39.29
1758203394.7324991,0.87,-44.68
1758203394.7827554,0.62,-49.64
1758203394.8330247,0.55,-55.04
1758203394.8833737,0.45,-59.98
1758203394.9337184,0.39,-65.39
1758203394.9840806,0.49,-70.34
1758203395.034439,0.49,-75.74
1758203395.0847924,0.44,-80.69
1758203395.1351328,0.56,-86.09
1758203395.1854732,0.65,-91.04
1758203395.235827,0.28,-96.44
1758203395.2862008,0.58,-101.39
1758203395.3365958,0.66,-106.79
1758203395.3869705,0.65,-111.74
1758203395.4373405,0.46,-117.14
1758203395.4877167,0.6,-122.09
1758203395.5380769,0.6,-127.49
1758203395.5884433,0.63,-132.44
1758203395.6387033,0.59,-137.84
1758203395.688957,0.48,-142.79
1758203395.7393785,0.38,-146.84
1758203395.7897613,0.38,-149.09
1758203395.8401175,0.36,-150.88
1758203395.8905306,0.36,-152.24
1758203395.9409194,0.39,-153.13
1758203395.9913185,0.45,-154.49
1758203396.0417182,0.55,-155.38
1758203396.0921178,0.56,-156.29
1758203396.1424868,0.57,-157.19
1758203396.192754,0.56,-157.63
1758203396.2431269,0.56,-160.49
1758203396.2934935,0.56,-160.03
1758203396.3437607,0.56,-159.13
1758203396.3941548,0.57,-158.24
1758203396.444436,0.56,-157.33
1758203396.494711,0.51,-156.44
1758203396.5450525,0.41,-155.08
1758203396.595407,0.38,-153.74
1758203396.6457705,0.35,-152.38
1758203396.6961343,0.38,-151.03
1758203396.7464962,0.37,-147.88
1758203396.7968545,0.47,-143.38
1758203396.8472047,0.59,-138.44
1758203396.8975549,0.63,-133.03
1758203396.9478989,0.6,-128.08
1758203396.9982574,0.6,-122.69
1758203397.0486152,0.46,-117.73
1758203397.0989916,0.64,-112.33
1758203397.1493468,0.66,-107.38
1758203397.199716,0.59,-101.98
1758203397.2500808,0.28,-97.04
1758203397.300346,0.67,-91.63
1758203397.3506153,0.56,-86.69
1758203397.400982,0.44,-81.28
1758203397.451355,0.49,-76.34
1758203397.5017493,0.49,-70.93
1758203397.5521138,0.4,-65.98
1758203397.6025343,0.44,-60.59
1758203397.6529262,0.54,-55.64
1758203397.7033272,0.61,-50.24
1758203397.7537053,0.88,-45.29
1758203397.8039904,0.79,-39.89
1758203397.854362,0.93,-34.94
1758203397.9047246,0.09,-29.54
1758203397.9550877,0.08,-24.14
1758203398.0054245,5.98,-19.19
1758203398.0557847,6.46,-14.23
1758203398.1061413,1.22,-8.83
1758203398.1564925,2.15,-3.89
1758203398.2068398,4.15,1.49
