timestamp,distance_m,yaw_deg
1758890344.8119862,0.12,-149.69
1758890344.8624735,0.12,-145.63
1758890344.9129996,0.13,-140.69
1758890344.9634984,0.14,-135.28
1758890345.0140097,0.15,-130.33
1758890345.0646029,0.17,-124.94
1758890345.1151257,0.19,-119.98
1758890345.165534,0.17,-115.04
1758890345.2160332,0.17,-109.63
1758890345.2664254,0.16,-104.69
1758890345.3168206,0.16,-99.29
1758890345.367217,0.15,-93.88
1758890345.4176528,0.15,-88.94
1758890345.4680657,0.15,-83.98
1758890345.518472,0.15,-78.59
1758890345.5688765,0.15,-73.63
1758890345.619416,0.15,-68.23
1758890345.669725,0.16,-63.29
1758890345.7201293,0.17,-57.89
1758890345.7706273,0.17,-52.94
1758890345.8209162,0.15,-47.54
1758890345.8713357,0.13,-42.59
1758890345.921952,0.12,-37.19
1758890345.9722543,0.11,-32.24
1758890346.0227795,0.1,-26.84
1758890346.0730655,0.1,-21.89
1758890346.1235716,0.1,-16.49
1758890346.1738613,0.09,-11.53
1758890346.2243857,0.09,-6.13
1758890346.2746816,0.09,-1.19
1758890346.3251822,0.09,3.74
1758890346.375603,0.09,9.14
1758890346.4259923,0.09,14.1
1758890346.4762738,0.09,19.49
1758890346.5267818,0.09,24.45
1758890346.5770514,0.1,29.84
1758890346.6275609,0.1,34.8
1758890346.6778393,0.1,40.19
1758890346.7284083,0.11,45.15
1758890346.7790773,0.12,50.55
1758890346.829671,0.13,55.49
1758890346.8802202,0.16,60.9
1758890346.9319518,0.18,65.85
1758890346.9875796,0.17,71.25
1758890347.0379984,0.17,76.2
1758890347.0883398,0.16,81.6
1758890347.138903,0.16,86.55
1758890347.189198,0.15,91.95
1758890347.239653,0.15,96.9
1758890347.2900434,0.16,102.3
1758890347.3403497,0.16,107.25
1758890347.3907158,0.16,112.65
1758890347.4411108,0.17,117.6
1758890347.491584,0.17,123.0
1758890347.5418959,0.19,127.95
1758890347.5923748,0.19,133.35
1758890347.6426957,0.17,138.3
1758890347.6931722,0.15,143.25
1758890347.7434802,0.14,147.3
1758890347.7939656,0.14,149.55
1758890347.8442862,0.13,150.89
1758890347.8946779,0.13,152.25
1758890347.9449975,0.13,153.6
1758890347.9955018,0.12,154.5
1758890348.0459173,0.12,155.39
1758890348.096242,0.12,156.3
1758890348.1466353,0.12,157.2
